Product Name,Current Inventory Level,Lead Time (in days),Sales Velocity (in units per day),Highest Sales Month,Supplier,Unit Cost,Reorder Point,Safety Stock,Festivals,Supplier Lead Time (in days),Category,Last Restock Date,Next Restock Date
Sony Alpha a7 III Mirrorless Camera,10,15,1,July,ABC Electronics,1500,20,5,NewYearPeriod,7,Electronics,2023-04-15,2023-05-15
"
The North Face Women's Arctic Parka",75,7,3,January,Outdoor Gear Inc.,200,50,10,Republic Day,5,Apparel,2023-04-20,2023-05-20
"
Apple AirPods Pro",50,5,5,December,Tech Gadgets Ltd.,200,30,10,Holi_Day,3,Electronics,2023-04-18,2023-05-18
"
Bose QuietComfort Earbuds",50,5,5,January,Sound Solutions,250,40,15,GudiPadwa,7,Electronics,2023-04-15,2023-05-15
"
Brooks Ghost 13 Running Shoes",200,7,10,February,Performance Footwear,120,50,20,,5,Footwear,2023-04-20,2023-05-20
"
Canon EOS 5D Mark IV DSLR Camera",10,15,1,August,Photo World,2500,15,5,Independence Day,7,Electronics,2023-04-15,2023-05-15
"
Coleman 8-Person Camping Tent",20,10,2,June,Outdoor Adventures,300,10,5,,7,Outdoor,2023-04-15,2023-05-15
"
DJI Osmo Action Camera",10,15,1,July,Camera Drones Inc.,350,25,10,Dushhera,5,Electronics,2023-04-20,2023-05-20
"
Fjallraven Kanken Classic Backpack",200,10,7,August,Outdoor Gear Inc.,80,60,15,,7,Accessories,2023-04-15,2023-05-15
"
Garmin Forerunner 945 GPS Smartwatch",50,5,5,June,Fitness Tech Ltd.,500,30,10,,3,Electronics,2023-04-18,2023-05-18
"
Google Pixel 6 Smartphone",25,7,2,November,Mobile Innovations,800,15,5,,5,Electronics,2023-04-20,2023-05-20
"
Herschel Supply Co. Nova Backpack",150,10,7,September,Outdoor Gear Inc.,100,80,20,Dhanteras,7,Accessories,2023-04-15,2023-05-15
"
JBL Flip 5 Waterproof Bluetooth Speaker",75,5,5,July,Sound Solutions,100,30,10,,3,Electronics,2023-04-18,2023-05-18
"
Lululemon Align Leggings",300,10,12,March,Activewear Emporium,80,100,30,,5,Apparel,2023-04-20,2023-05-20
"
Sony Bravia 65"" 4K Smart TV",15,7,2,July,ElectroTech Inc.,1200,10,5,NewYearPeriod,5,Electronics,2023-04-15,2023-05-15
"
Nike Air Max 90 Sneakers",50,3,5,September,Footwear World,100,20,10,Ganesh Chaturthi,3,Footwear,2023-04-18,2023-05-18
"
Samsung Galaxy S21 Ultra",30,5,3,November,Mobile Mart,1100,15,5,Diwali,7,Electronics,2023-04-20,2023-05-20
"
Apple MacBook Pro 16""",10,7,1,December,Apple Store,2000,5,3,Christmas,5,Electronics,2023-04-15,2023-05-15
"
Adidas Ultraboost Running Shoes",40,5,4,June,Sports Zone,150,10,5,,7,Footwear,2023-04-18,2023-05-18
"
LG 55"" OLED 4K TV",20,7,2,August,Electronics Plus,1800,10,5,GudiPadwa,5,Electronics,2023-04-20,2023-05-20
"
Dell XPS 15 Laptop",15,5,2,July,PC World,1800,10,5,Raksha Bandhan,3,Electronics,2023-04-15,2023-05-15
"
Canon EOS R5 Mirrorless Camera",8,10,1,October,Camera Corner,3500,5,3,Ganesh Chaturthi,7,Electronics,2023-04-18,2023-05-18
"
Nike Air Jordan 1 Retro High OG",25,3,3,May,Sneaker World,200,10,5,,5,Footwear,2023-04-20,2023-05-20
"
Bose SoundLink Revolve+ Bluetooth Speaker",35,4,4,December,Sound Solutions,250,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
GoPro HERO10 Black",20,5,3,September,Action Cam Store,400,10,5,,5,Electronics,2023-04-18,2023-05-18
"
Patagonia Men's Nano Puff Jacket",50,7,3,November,Outdoor Gear Inc.,180,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Fitbit Versa 3 Smartwatch",30,4,4,July,Fitness Solutions,300,10,5,,3,Electronics,2023-04-15,2023-05-15
"
Microsoft Surface Pro 7",12,7,1,June,Microsoft Store,1200,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Samsung QLED Q90T 75"" 4K TV",8,7,1,October,ElectroTech Inc.,2500,5,3,Diwali,5,Electronics,2023-04-15,2023-05-15
"
Adidas Stan Smith Sneakers",40,3,4,May,Footwear World,80,10,5,,7,Footwear,2023-04-18,2023-05-18
"
Apple iPad Air (2023)",25,5,3,September,Apple Store,900,15,5,Ganesh Chaturthi,7,Electronics,2023-04-20,2023-05-20
"
Sony WH-1000XM4 Wireless Headphones",35,4,4,December,Sound Solutions,350,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
DJI Mavic Air 2S Drone",15,7,1,June,Camera Corner,1200,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Nike Air Force 1 Low Sneakers",30,5,2,July,Sneaker World,120,10,5,,3,Footwear,2023-04-15,2023-05-15
"
Sony PlayStation 5",10,10,1,October,GameStop,500,5,3,,5,Electronics,2023-04-18,2023-05-18
"
Columbia Men's Watertight II Rain Jacket",50,7,3,November,Outdoor Gear Inc.,100,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Bose QuietComfort 35 II Wireless Headphones",40,4,4,December,Sound Solutions,300,10,5,Christmas LastDay,7,Electronics,2023-04-15,2023-05-15
"
Garmin Fenix 6X Pro Solar Smartwatch",20,5,3,September,Fitness Solutions,700,10,5,Ganesh Chaturthi,5,Electronics,2023-04-18,2023-05-18
"
Patagonia Women's Nano Puff Jacket",35,7,3,November,Outdoor Gear Inc.,180,15,5,,7,Apparel,2023-04-20,2023-05-20
"
Apple Watch Series 8",30,4,4,July,Apple Store,600,10,5,,3,Electronics,2023-04-15,2023-05-15
"
GoPro HERO9 Black",12,7,1,June,Action Cam Store,350,5,3,,5,Electronics,2023-04-18,2023-05-18
"
The North Face Men's Resolve 2 Jacket",20,10,2,August,Outdoor Adventures,120,10,5,GudiPadwa,7,Apparel,2023-04-15,2023-05-15
"
Samsung Galaxy Tab S7",25,5,3,September,ElectroTech Inc.,700,15,5,Diwali,7,Electronics,2023-04-20,2023-05-20
"
Adidas UltraBOOST 21 Running Shoes",40,3,4,May,Footwear World,180,10,5,,5,Footwear,2023-04-15,2023-05-15
